Season,Team,TG,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,xwOBA,wRC+,BsR,Off,Def,WAR
2002,"SFG",162,2263,6298,198,783,751,74,0.097808828,0.152588123,0.175368383,0.288610478,0.266509004,0.344462279,0.441877387,0.33827880084738365,,108.99493768444707,2.798727374174632,73.44428266919311,74.08422011695802,35.2620357870099
1998,"HOU",162,2125,6441,166,874,818,155,0.0964136,0.174196553,0.156000709,0.320763289,0.279737635,0.355788814,0.435738344,0.346894199476105,,112.73113426748546,8.727203201007796,112.05187741026263,44.53857303317636,35.151135928089325
2007,"PHI",162,2446,6537,213,892,850,138,0.098057212,0.184335322,0.18407173,0.311198519,0.273909985,0.353732035,0.457981715,0.3509930071745773,,105.12888504444182,20.596963751828298,63.60502109034594,78.4537556541618,34.91764865523882
2018,"LAD",163,2574,6358,235,804,756,75,0.10176156,0.225857187,0.19149318,0.294162436,0.250179468,0.33264757,0.441672648,0.33261783449549454,,111.35884330681222,4.7150461717865255,92.61494862082398,51.317507868865505,34.85719227299128
2016,"CHC",162,2332,6335,199,808,767,66,0.103551696,0.21136543,0.17263311,0.302348825,0.256042158,0.343452002,0.428675268,0.3333256972089889,,105.68011488575459,3.4817416954319924,47.48117363757107,91.30958188569639,34.79543016570665
2019,"LAD",162,2413,6281,279,886,861,57,0.096640662,0.215889189,0.214636811,0.290801947,0.257418532,0.337616447,0.472055343,0.33839708507823063,,109.75485059959234,9.197733293200145,89.84310539965557,67.37049276474863,34.71871356536356
2000,"SFG",162,2123,6418,226,925,889,79,0.110470551,0.160797756,0.193875702,0.302519066,0.278130096,0.361702127,0.472005798,0.3593495900894596,,112.04077162290406,-1.3224673389922827,103.65014860221966,53.67749874573201,34.70781821792637
1999,"CLE",162,1859,6554,209,1009,960,147,0.113365883,0.167683857,0.177493787,0.32324152,0.28913738,0.373442068,0.466631167,0.3665609722279218,,112.30435769653404,6.919961325533222,114.47230761724961,18.58677302673459,34.41573231472117
2003,"STL",162,2391,6466,196,876,827,82,0.089699969,0.147231673,0.175246826,0.302315421,0.278561354,0.350054867,0.45380818,0.34617649802427214,,109.04197210219152,9.152752251015045,83.92195560043733,53.468791991472244,34.41264752206215
2022,"NYY",162,2342,6172,254,807,764,102,0.100453661,0.22537265,0.184987089,0.276060764,0.241239395,0.324719648,0.426226484,0.3271561705912175,,113.97707802617317,-6.165095795877278,90.79345148666532,40.211238170042634,34.250878374536306
2009,"NYY",162,2369,6449,244,915,881,111,0.102806636,0.157233679,0.194169611,0.306237333,0.283392226,0.36175187,0.477561837,0.36468619706955396,,117.09694575401807,0.17331146448850632,137.5410714799017,-21.77810290455818,34.14068769591443
2023,"TEX",162,2302,6306,233,881,845,79,0.094988899,0.224548049,0.189633601,0.309792136,0.262734584,0.337146488,0.452368185,0.33969398540582213,,116.25320856240377,-8.399648227728903,114.38503412412015,10.942143950611353,34.097861356299184
2021,"HOU",162,2319,6291,221,863,834,53,0.090446669,0.194245747,0.177006973,0.303282588,0.267477203,0.339012738,0.444484176,0.3364977335567764,,114.68718690157777,-6.226846278404082,106.63329169699213,17.838510415051132,34.09120744529668
